TestID,RunID,SA_SideNum,SA_InFifoDepth,SA_OutFifoDepth,SA_InstFifoDepth,activationOutFifoDepth,slicedInstFifoDepth,numCores,TotalCycles,CyclesPerTest,FLOPSPerCycle,Status,ErrorMessage
1,1,8,8,8,16,32,16,1,113931,2278.62,71.12122249431674,Success,
3,1,8,8,8,64,32,16,1,113931,2278.62,71.12122249431674,Success,
5,1,8,8,8,16,32,16,2,75768,1515.36,106.94372294372295,Success,
7,1,8,8,8,64,32,16,2,75768,1515.36,106.94372294372295,Success,
9,1,8,8,8,16,32,16,4,74548,1490.96,108.69388850136825,Success,
11,1,8,8,8,64,32,16,4,74548,1490.96,108.69388850136825,Success,
13,1,8,8,8,16,64,16,1,113931,2278.62,71.12122249431674,Success,
15,1,8,8,8,64,64,16,1,113931,2278.62,71.12122249431674,Success,
17,1,8,8,8,16,64,16,2,75768,1515.36,106.94372294372295,Success,
19,1,8,8,8,64,64,16,2,75768,1515.36,106.94372294372295,Success,
21,1,8,8,8,16,64,16,4,74548,1490.96,108.69388850136825,Success,
23,1,8,8,8,64,64,16,4,74548,1490.96,108.69388850136825,Success,
25,1,8,16,8,16,32,16,1,112475,2249.5,72.04189375416759,Success,
27,1,8,16,8,64,32,16,1,112475,2249.5,72.04189375416759,Success,
29,1,8,16,8,16,32,16,2,75668,1513.36,107.08505576994239,Success,
31,1,8,16,8,64,32,16,2,75668,1513.36,107.08505576994239,Success,
33,1,8,16,8,16,32,16,4,74508,1490.16,108.75224137005422,Success,
35,1,8,16,8,64,32,16,4,74508,1490.16,108.75224137005422,Success,
37,1,8,16,8,16,64,16,1,112475,2249.5,72.04189375416759,Success,
39,1,8,16,8,64,64,16,1,112475,2249.5,72.04189375416759,Success,
41,1,8,16,8,16,64,16,2,75668,1513.36,107.08505576994239,Success,
43,1,8,16,8,64,64,16,2,75668,1513.36,107.08505576994239,Success,
45,1,8,16,8,16,64,16,4,74508,1490.16,108.75224137005422,Success,
47,1,8,16,8,64,64,16,4,74508,1490.16,108.75224137005422,Success,
49,1,8,32,8,16,32,16,1,112295,2245.9,72.15737120976,Success,
51,1,8,32,8,64,32,16,1,112295,2245.9,72.15737120976,Success,
53,1,8,32,8,16,32,16,2,75504,1510.08,107.31765204492477,Success,
55,1,8,32,8,64,32,16,2,75504,1510.08,107.31765204492477,Success,
57,1,8,32,8,16,32,16,4,74428,1488.56,108.86913527167195,Success,
59,1,8,32,8,64,32,16,4,74428,1488.56,108.86913527167195,Success,
61,1,8,32,8,16,64,16,1,112295,2245.9,72.15737120976,Success,
63,1,8,32,8,64,64,16,1,112295,2245.9,72.15737120976,Success,
65,1,8,32,8,16,64,16,2,75504,1510.08,107.31765204492477,Success,
67,1,8,32,8,64,64,16,2,75504,1510.08,107.31765204492477,Success,
69,1,8,32,8,16,64,16,4,74428,1488.56,108.86913527167195,Success,
71,1,8,32,8,64,64,16,4,74428,1488.56,108.86913527167195,Success,
73,1,8,8,16,16,32,16,1,113931,2278.62,71.12122249431674,Success,
75,1,8,8,16,64,32,16,1,113931,2278.62,71.12122249431674,Success,
77,1,8,8,16,16,32,16,2,75104,1502.08,107.88922028121006,Success,
79,1,8,8,16,64,32,16,2,74828,1496.56,108.28716523226599,Success,
81,1,8,8,16,16,32,16,4,73596,1471.92,110.09989673351812,Success,
83,1,8,8,16,64,32,16,4,73052,1461.04,110.9197831681542,Success,
85,1,8,8,16,16,64,16,1,113931,2278.62,71.12122249431674,Success,
87,1,8,8,16,64,64,16,1,113931,2278.62,71.12122249431674,Success,
89,1,8,8,16,16,64,16,2,75104,1502.08,107.88922028121006,Success,
91,1,8,8,16,64,64,16,2,74828,1496.56,108.28716523226599,Success,
93,1,8,8,16,16,64,16,4,73596,1471.92,110.09989673351812,Success,
95,1,8,8,16,64,64,16,4,73052,1461.04,110.9197831681542,Success,
97,1,8,16,16,16,32,16,1,112475,2249.5,72.04189375416759,Success,
99,1,8,16,16,64,32,16,1,112475,2249.5,72.04189375416759,Success,
101,1,8,16,16,16,32,16,2,75104,1502.08,107.88922028121006,Success,
103,1,8,16,16,64,32,16,2,74788,1495.76,108.34508209873242,Success,
105,1,8,16,16,16,32,16,4,73596,1471.92,110.09989673351812,Success,
107,1,8,16,16,64,32,16,4,73052,1461.04,110.9197831681542,Success,
109,1,8,16,16,16,64,16,1,112475,2249.5,72.04189375416759,Success,
111,1,8,16,16,64,64,16,1,112475,2249.5,72.04189375416759,Success,
113,1,8,16,16,16,64,16,2,75104,1502.08,107.88922028121006,Success,
115,1,8,16,16,64,64,16,2,74788,1495.76,108.34508209873242,Success,
